iter	RMSE
131	3.228283797
132	3.220577002
133	3.214744501
134	3.205673793
135	3.199889956
136	3.192983327
137	3.186663808
138	3.177229051
139	3.170830831
140	3.164865108
141	3.16024783
142	3.150910368
143	3.142747355
144	3.133801782
145	3.129336539
146	3.120700311
147	3.115166422
148	3.108310762
149	3.099497243
150	3.091475329
151	3.083887353
152	3.074858817
153	3.06701664
154	3.060533095
155	3.052748172
156	3.04572193
157	3.041787127
158	3.035774297
159	3.029318404
160	3.018677747
161	3.008732683
162	3.002252711
163	2.994430038
164	2.987234296
165	2.981029254
166	2.976483822
167	2.965176289
168	2.957998601
169	2.95367282
170	2.947956494
171	2.941871531
172	2.934267585
173	2.928764488
174	2.925153469
175	2.919631648
176	2.915745627
177	2.909328103
178	2.907022207
179	2.898415751
180	2.888752765
181	2.880234464
182	2.875307788
183	2.873028388
184	2.86734762
185	2.862324035
186	2.853926077
187	2.848639165
188	2.846955952
189	2.84197127
190	2.836756187
191	2.832138589
192	2.828899444
193	2.825336857
194	2.817786352
195	2.813022778
196	2.809413017
197	2.804359898
198	2.801485467
199	2.798665721
200	2.796605186
201	2.792216229
202	2.791300484
203	2.78453194
204	2.779119509
205	2.775137348
206	2.770051827
207	2.768492382
208	2.762399217
209	2.757569023
210	2.753491894
211	2.749099365
212	2.746332595
213	2.742093346
214	2.736469666
215	2.730703602
216	2.728797571
217	2.727722674
218	2.724695191
219	2.716682292
220	2.713279323
221	2.70704343
222	2.701288979
223	2.699700964
224	2.695991388
225	2.694353433
226	2.691899508
227	2.690088639
228	2.688918563
229	2.687765964
230	2.683753776
231	2.681923496
232	2.680189581
233	2.678101782
234	2.677238483
235	2.676576989
236	2.673881288
237	2.668800042
238	2.667803911
239	2.666912731
240	2.665948838
241	2.660212822
242	2.65728276
243	2.656482581
244	2.654351487
245	2.653372124
246	2.652622218
247	2.649519265
248	2.642722073
249	2.641675771
250	2.635237002
251	2.629920269
252	2.624138998
253	2.61531291
254	2.614750681
255	2.608378864
256	2.607036669
257	2.606203515
258	2.602899414
259	2.602096261
260	2.597302823
261	2.593383799
262	2.590030482
263	2.589556828
264	2.586155122
265	2.5806611
266	2.575229362
267	2.568864237
268	2.566168383
269	2.565026481
270	2.564120038
271	2.557321518
272	2.553336283
273	2.545118671
274	2.541230988
275	2.540796898
276	2.539610899
277	2.536317242
278	2.530494081
279	2.522399994
280	2.512949173
281	2.509666792
282	2.509178922
283	2.506777849
284	2.506014313
285	2.498894903
286	2.491412267
287	2.485622623
288	2.483017031
289	2.479931407
290	2.473963292
291	2.473393193
292	2.465424727
293	2.463552457
294	2.459997377
295	2.453910729
296	2.45110233
297	2.4490855
298	2.441551073
299	2.434179644
300	2.430423704
301	2.429674057
302	2.426492455
303	2.419975081
304	2.413182959
305	2.407602621
306	2.403225122
307	2.400666042
308	2.394005914
309	2.390533227
310	2.38502698
311	2.379729506
312	2.378770537
313	2.372978683
314	2.369620195
315	2.367376025
316	2.366709497
317	2.363893084
318	2.359780227
319	2.355091663
320	2.350500704
321	2.344314608
322	2.337576604
323	2.333635683
324	2.332733576
325	2.329425659
326	2.327185825
327	2.324658726
328	2.321870117
329	2.321186828
330	2.31345211
331	2.309612375
332	2.308278631
333	2.303159895
334	2.299550705
335	2.296561864
336	2.291982783
337	2.291618765
338	2.284493761
339	2.282362543
340	2.278176586
341	2.273918841
342	2.270708663
343	2.267782134
344	2.267379028
345	2.265447661
346	2.261720835
347	2.257146722
348	2.254172132
349	2.251702227
350	2.247584869
351	2.247176689
352	2.241312478
353	2.235519123
354	2.235133304
355	2.231376615
356	2.230825771
357	2.225034837
358	2.219623319
359	2.213801574
360	2.213493718
361	2.207965066
362	2.205257057
363	2.199291816
364	2.194017668
365	2.191711293
366	2.19033213
367	2.18749564
368	2.182001939
369	2.179794211
370	2.175209582
371	2.172188696
372	2.167495849
373	2.166458636
374	2.163922488
375	2.157873969
376	2.152575531
377	2.150958155
378	2.142667921
379	2.140260366
380	2.137301749
381	2.131895114
382	2.126852255
383	2.124290405
384	2.122340517
385	2.1188235
386	2.116856599
387	2.114024874
388	2.107404731
389	2.101314071
390	2.096765035
391	2.094644058
392	2.092757921
393	2.091018662
394	2.083066278
395	2.078911105
396	2.077232377
397	2.075171769
398	2.069450856
399	2.0665536
400	2.059247377
401	2.056837043
402	2.052833153
403	2.050163261
404	2.049676432
405	2.0415519
406	2.03261567
407	2.030349179
408	2.022676598
409	2.019000276
410	2.01825162
411	2.014818732
412	2.012745962
413	2.010727485
414	2.008225427
415	2.007250289
416	2.002376311
417	2.000988701
418	1.998890152
419	1.99691689
420	1.993801591
421	1.991693864
422	1.986198725
423	1.982855073
424	1.98167922
425	1.974281641
426	1.971899818
427	1.968369911
428	1.967120362
429	1.96602449
430	1.96514357
431	1.961002073
432	1.95573478
433	1.954816676
434	1.948792694
435	1.943376726
436	1.93719461
437	1.932831501
438	1.927094154
439	1.925328915
440	1.921094855
441	1.918255444
442	1.916664679
443	1.910827598
444	1.909325132
445	1.90728574
446	1.90426153
447	1.902900348
448	1.897637304
449	1.897219929
450	1.896003597
451	1.893971953
452	1.893567265
453	1.887213381
454	1.88418231
455	1.880675681
456	1.878394294
457	1.873905304
458	1.872069801
459	1.871849704
460	1.871148372
461	1.867290545
462	1.865641322
463	1.864043571
464	1.862516572
465	1.862339516
466	1.85516086
467	1.853921567
468	1.849903622
469	1.849147567
470	1.844131683
471	1.841077098
472	1.836620406
473	1.829400143
474	1.827759809
475	1.826802636
476	1.823022996
477	1.819305839
478	1.817889021
479	1.814726338
480	1.813289225
481	1.811742475
482	1.807790606
483	1.802965405
484	1.802750826
485	1.797433417
486	1.791961224
487	1.787041496
488	1.786620775
489	1.786353109
490	1.785402613
491	1.781457499
492	1.780304866
493	1.779746143
494	1.778811641
495	1.776120078
496	1.77302647
497	1.77153767
498	1.769715037
499	1.766445327
500	1.765505508
501	1.763371197
502	1.756859709
503	1.756463774
504	1.753410622
505	1.75247048
506	1.747912182
507	1.743143527
508	1.742540467
509	1.737623809
510	1.736901112
511	1.736667051
512	1.736345671
513	1.735845519
514	1.729616776
515	1.72903856
516	1.727818147
517	1.724956832
518	1.721628474
519	1.720197283
520	1.719481852
521	1.716536608
522	1.713729237
523	1.712724298
524	1.708898929
525	1.702527623
526	1.700405507
527	1.699847639
528	1.696791032
529	1.69449954
530	1.691271282
531	1.690663697
532	1.685684192
533	1.681083232
534	1.677049809
535	1.674356095
536	1.672824767
537	1.670449307
538	1.669815924
539	1.668024
540	1.663841331
541	1.659894259
542	1.658898369
543	1.656877014
544	1.65650202
545	1.65117358
546	1.649248651
547	1.648719953
548	1.646074804
549	1.643448396
550	1.640873518
551	1.637195172
552	1.636481644
553	1.635547562
554	1.631434083
555	1.627214057
556	1.62434653
557	1.620808844
558	1.615741616
559	1.615278461
560	1.611112021
561	1.609719757
562	1.607397764
563	1.606077797
564	1.603674075
565	1.601839597
566	1.59777983
567	1.593541424
568	1.591582222
569	1.586479487
570	1.584245576
571	1.583307925
572	1.57825172
573	1.576586664
574	1.576140077
575	1.57158832
576	1.567769957
577	1.564820192
578	1.559681856
579	1.558050188
580	1.555177622
581	1.55209845
582	1.548448985
583	1.547618485
584	1.546352438
585	1.545466579
586	1.541646738
587	1.541181475
588	1.537100751
589	1.536803012
590	1.533464235
591	1.532098516
592	1.526958787
593	1.523464196
594	1.521711855
595	1.518786458
596	1.515419481
597	1.512731915
598	1.507582631
599	1.506669551
600	1.50415457
601	1.502858176
602	1.501234534
603	1.498049712
604	1.494614038
605	1.492283007
606	1.4859542
607	1.484130557
608	1.479878651
609	1.47568481
610	1.474497979
611	1.473962402
612	1.473164473
613	1.470216209
614	1.466896877
615	1.464608495
616	1.459571683
617	1.458360365
618	1.456834432
619	1.455103568
620	1.449623409
621	1.448954053
622	1.445793944
623	1.445194959
624	1.443368355
625	1.441319621
626	1.437395125
627	1.43718911
628	1.433527309
629	1.428225591
630	1.425510617
631	1.424713034
632	1.422908216
633	1.422547475
634	1.42126733
635	1.416538723
636	1.41470954
637	1.411633925
638	1.409004678
639	1.405812614
640	1.40525363
641	1.403069223
642	1.401785323
643	1.40135728
644	1.401091201
645	1.400480252
646	1.397941063
647	1.395285602
648	1.395002331
649	1.39405506
650	1.392697421
651	1.39189849
652	1.389503682
653	1.384914617
654	1.380225728
655	1.380037799
656	1.3778822
657	1.375746573
658	1.371443168
659	1.367300935
660	1.366686204
661	1.364129965
662	1.360320074
663	1.358669593
664	1.355589945
665	1.352927892
666	1.350964269
667	1.348961605
668	1.346259678
669	1.343743577
670	1.340093123
671	1.335823968
672	1.33562434
673	1.335208716
674	1.334384063
675	1.330785926
676	1.328966171
677	1.325700535
678	1.324027726
679	1.320377167
680	1.316269536
681	1.315387025
682	1.314346247
683	1.313533384
684	1.308244116
685	1.308089842
686	1.307880634
687	1.306076448
688	1.303859577
689	1.303707314
690	1.302752441
691	1.298659356
692	1.296391683
693	1.295552871
694	1.293325976
695	1.290979006
696	1.290521715
697	1.289070585
698	1.286860894
699	1.285369113
700	1.28363205
701	1.282383713
702	1.282244997
703	1.281247187
704	1.279945313
705	1.274842725
706	1.272696772
707	1.272171617
708	1.271887037
709	1.271578974
710	1.26901128
711	1.26497965
712	1.262070534
713	1.260593005
714	1.258865276
715	1.257075826
716	1.255180908
717	1.254738171
718	1.253465305
719	1.250534093
720	1.24743839
721	1.244968958
722	1.243890433
723	1.243163103
724	1.243010887
725	1.242907187
726	1.240583287
727	1.240414715
728	1.23971478
729	1.236905727
730	1.233955891
731	1.232898657
732	1.232089734
733	1.2319634
734	1.231829353
735	1.227617403
736	1.227387289
737	1.227209576
738	1.225506169
739	1.223391421
740	1.222584792
741	1.220732187
742	1.21678896
743	1.21585558
744	1.21480998
745	1.214553756
746	1.21443449
747	1.213945246
748	1.21265596
749	1.212121024
750	1.208141961
751	1.206632665
752	1.204637422
753	1.202595804
754	1.201909745
755	1.200798438
756	1.200319052
757	1.19851247
758	1.19806731
759	1.197678269
760	1.197076744
761	1.193251573
762	1.193000146
763	1.19057601
764	1.190462894
765	1.190348335
766	1.1884047
767	1.184292077
768	1.180356215
769	1.17881855
770	1.178347597
771	1.176092804
772	1.175484744
773	1.171807617
774	1.169359861
775	1.166501939
776	1.165859867
777	1.165263536
778	1.163148515
779	1.162825985
780	1.162710686
781	1.15968997
782	1.157294894
783	1.155583252
784	1.153008981
785	1.15167789
786	1.151220868
787	1.14908372
788	1.148616947
789	1.146459248
790	1.143843476
791	1.142100987
792	1.140229659
793	1.137750642
794	1.136788188
795	1.134886678
796	1.13164161
797	1.128324102
798	1.126807521
799	1.126049094
800	1.122780456
801	1.122491787
802	1.119008999
803	1.117827352
804	1.11737634
805	1.116645748
806	1.116383369
807	1.11395799
808	1.112948444
809	1.111906472
810	1.110130167
811	1.110008205
812	1.105867886
813	1.104377444
814	1.103580362
815	1.100909136
816	1.097744236
817	1.094670127
818	1.09157315
819	1.088810221
820	1.08663226
821	1.084646817
822	1.084454271
823	1.081951966
824	1.081455931
825	1.080481322
826	1.079684089
827	1.07836623
828	1.077921913
829	1.076044539
830	1.075048817
831	1.073718228
832	1.07177606
833	1.069709405
834	1.069393355
835	1.069179458
836	1.066590865
837	1.065575737
838	1.063995044
839	1.063762291
840	1.063382367
841	1.061498925
842	1.059185481
843	1.058433847
844	1.054753947
845	1.052977349
846	1.049558394
847	1.047514145
848	1.045593673
849	1.045484041
850	1.043891318
851	1.042316039
852	1.038784699
853	1.037585222
854	1.03445754
855	1.033444395
856	1.031703205
857	1.028846483
858	1.028045998
859	1.027721598
860	1.027605162
861	1.025775406
862	1.0229573
863	1.022859609
864	1.022717507
865	1.022613493
866	1.019946838
867	1.019222272
868	1.018581091
869	1.014447167
870	1.013642018
871	1.011527477
872	1.008173552
873	1.007766577
874	1.007553133
875	1.006048562
876	1.005632836
877	1.003818099
878	1.003217236
879	1.002730575
880	0.9997762839
881	0.997103347
882	0.9960431654
883	0.9951358962
884	0.9935026095
885	0.9918695222
886	0.9909820612
887	0.9893225173
888	0.9879242833
889	0.986812529
890	0.9864190517
891	0.9840478227
892	0.9831682448
893	0.9827591758
894	0.9796228174
895	0.9774907775
896	0.9744416783
897	0.9718779433
898	0.9713022048
899	0.9708680367
900	0.9703573968
901	0.9701187846
902	0.9673716177
903	0.9647388097
904	0.9634907386
905	0.9624367849
906	0.9621033927
907	0.9599898211
908	0.9598766473
909	0.958511848
910	0.9554512499
911	0.9533109537
912	0.9524334382
913	0.9500566862
914	0.9499519587
915	0.9494014093
916	0.9475306822
917	0.9455930769
918	0.9452019216
919	0.9438267595
920	0.9436552978
921	0.9428426848
922	0.9424933666
923	0.9421948848
924	0.9414458353
925	0.9401421687
926	0.9393819046
927	0.9378878525
928	0.9353123658
929	0.9319445983
930	0.9314235679
931	0.9313293376
932	0.9290243856
933	0.9261235597
934	0.9242550129
935	0.9233961641
936	0.9233309411
937	0.9214953947
938	0.921227072
939	0.9203596855
940	0.9198873242
941	0.9198013123
942	0.9176377412
943	0.9150876868
944	0.9144084796
945	0.9122535065
946	0.9108427917
947	0.9096292519
948	0.907303674
949	0.9060265076
950	0.9048134643
951	0.90405101
952	0.9015131924
953	0.9008858841
954	0.9003005015
955	0.8984952298
956	0.8983925825
957	0.8959044505
958	0.8955787354
959	0.8949208634
960	0.8943138944
961	0.894198021
962	0.8927048823
963	0.8911890763
964	0.8891915456
965	0.8876339352
966	0.8875567677
967	0.8844571986
968	0.8841111226
969	0.8834495744
970	0.8807401429
971	0.8785961102
972	0.8779227629
973	0.8761543995
974	0.8760851093
975	0.8759270551
976	0.8757083413
977	0.8752980145
978	0.8740911313
979	0.8727843295
980	0.8721356302
981	0.871261498
982	0.8699224086
983	0.8679507159
984	0.86653028
985	0.8664528945
986	0.8648698674
987	0.8619994304
988	0.8619296523
989	0.8618526439
990	0.8608928396
991	0.8608030545
992	0.8604529264
993	0.8589926986
994	0.8582057774
995	0.8561168281
996	0.8560251975
997	0.8554328312
998	0.8531795495
999	0.8515815154
860203585
993	0.6856176207
994	0.6853378069
995	0.684791734
996	0.6835173022
997	0.6818639291
998	0.6804445587
999	0.6785816999
